tax	Garnets-4	Kaites-Jenny	Kim-1	OMIB2	Pahala-4	Panaewa-1	VHS-4	Waminalo-3	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	204082	297269	203222	174680	642421	286481	279373	422513	2510041
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera	190859	227565	159725	211569	310671	130542	228196	383273	1842400
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Varroa destructor virus 1	85383	13	46532	215	19	21223	9	40630	194024
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus aladeformis	10681	5	94908	85	24	18056	14	63197	186970
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Melissococcus;Melissococcus plutonius	13130	6401	16936	9814	8717	17153	3805	13334	89290
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola	5812	5419	10629	6047	3625	4689	1893	8456	46570
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella perrara	1974	882	4863	2159	1035	2381	980	3958	18232
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellis	2266	1097	4132	1787	1462	4152	353	2128	17377
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus larvae	1753	1494	3196	2130	1095	2508	602	2844	15622
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella alvi	2200	1908	1774	1663	1161	1365	622	1663	12356
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus apis	550	746	1692	2024	500	1147	270	2095	9024
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus melliventris	963	344	739	740	617	1155	236	612	5406
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai Virus SA2	0	0	3534	0	1	0	0	900	4435
Viruses;Orthornavirae;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Kinglevirus;Kinglevirus lutadaptatum	521	297	591	1057	205	385	162	1154	4372
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter mensalis	352	54	554	342	473	546	10	301	2632
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helsingborgensis	452	87	288	358	298	486	271	380	2620
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella mensalis	253	315	544	266	167	238	76	305	2164
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombi	236	229	467	272	119	203	65	379	1970
Eukaryota;Metazoa;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor	143	22	130	5	331	939	190	57	1817
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombicola	208	207	477	257	98	197	63	284	1791
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kimbladii	254	103	157	243	99	166	43	131	1196
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus huangpiensis	177	110	149	131	77	212	86	157	1099
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kullabergensis	136	67	141	143	76	240	56	162	1021
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellifer	106	37	268	151	81	105	47	214	1009
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Commensalibacter;Commensalibacter intestini	191	22	90	86	120	211	104	77	901
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium polysaccharolyticum	68	126	192	181	36	137	4	110	854
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella intestini	67	68	191	87	47	65	26	126	677
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella gandavensis	105	88	138	96	47	100	28	75	677
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas asaccharolytica	0	107	81	10	106	111	0	158	573
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella communis	79	67	101	84	40	84	17	63	535
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai virus 1	1	0	101	0	417	0	0	0	519
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella japonica	71	31	127	63	32	57	30	95	506
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus laiwuensis	75	35	72	56	29	110	47	72	496
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter adventoris	85	3	95	28	86	68	2	76	443
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Polydnaviriformidae;Ichnoviriform;Ichnoviriform fumiferanae	51	16	6	12	81	140	93	44	443
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium mizhiense	21	57	98	84	14	58	4	91	427
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium choladohabitans	19	25	83	106	13	40	3	72	361
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Halotthiaceae;Brunneoclavispora;Brunneoclavispora bambusae	31	42	26	35	37	43	12	113	339
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella apis	17	45	45	59	4	15	13	112	310
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium asteroides	14	42	57	52	11	44	1	53	274
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus panisapium	34	7	40	49	37	42	16	38	263
