tax	AnaholaK-F5	AnaholaK-F6	Dennisom2b1	Dennisom3d1	Hanalei_spiritsK-H1	Hanalei_spiritsK-H2	Hanalei_spiritsK-H3	Hanalei_spiritsK-H4	Mac_nutsK-I1	Mac_nutsK-I2	Mac_nutsK-I3	Torintinos1	Torintinos2	Torintinos3	TorintinosWild	Waikele40	Waikele41	helieva161	helieva190	old_houseK-G1	punaluu1	punaluu2	punaluu3	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	27436	46910	20837	26401	42151	20769	25301	39854	20677	41390	925	11582	237	24849	6684	16990	31118	15171	29197	46259	13329	26914	24162	559143
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera	11173	24421	41025	26536	17838	12638	10922	21802	15299	22133	715	11561	1	21363	1305	15944	27762	21410	34240	21742	4787	5651	20472	390740
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Muvirus;Muvirus mu	4	0	5	2	166	0	1	1	0	1	1	3	0	95	1	5	14	5657	11095	11	7062	1	1	24126
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Muvirus;Muvirus SfMu	0	0	1	2	185	1	1	1	1	0	0	2	0	69	4	2	23	5593	11039	11	7067	1	1	24004
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola	269	723	204	725	187	233	212	486	224	390	0	322	0	705	1	192	340	117	1940	76	1	2	1174	8523
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Melissococcus;Melissococcus plutonius	248	513	63	551	102	144	92	378	149	350	0	171	0	556	0	347	366	54	954	51	7	1	377	5474
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus aladeformis	0	0	460	278	0	0	0	1	0	0	0	3	0	1237	0	1	2650	47	0	0	3	0	18	4698
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella perrara	73	421	57	281	46	91	24	105	67	154	0	45	0	115	0	603	273	32	465	37	0	0	385	3274
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Varroa destructor virus 1	0	0	370	232	0	0	0	0	0	0	0	13	0	0	0	0	2332	29	0	0	2	0	15	2993
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella alvi	64	184	90	237	91	105	50	285	66	214	0	95	0	219	0	39	50	55	437	40	0	0	232	2553
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellis	105	144	26	144	38	75	33	154	80	136	0	62	0	116	0	88	63	9	505	8	0	0	128	1914
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus apis	39	85	6	238	13	30	11	68	14	53	0	84	0	190	0	108	143	7	528	9	0	0	81	1707
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus larvae	37	96	11	109	13	22	11	44	21	45	0	29	0	85	0	61	43	5	170	22	0	0	69	893
Eukaryota;Metazoa;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor	30	108	5	3	36	115	13	127	31	180	0	0	0	0	0	17	5	11	3	65	11	0	4	764
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Apis mellifera filamentous virus	0	1	0	1	0	0	0	0	0	489	0	0	0	1	0	0	3	5	1	1	51	153	5	711
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus melliventris	26	31	6	39	2	7	9	39	7	31	0	46	0	86	0	83	46	0	118	0	1	0	46	623
Viruses;Orthornavirae;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Kinglevirus;Kinglevirus lutadaptatum	1	33	12	112	7	18	1	35	8	17	0	20	0	12	0	31	28	7	30	29	0	0	46	447
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter mensalis	10	7	30	24	3	9	6	29	11	30	0	0	0	11	0	3	7	21	201	8	0	0	28	438
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella mensalis	15	30	5	29	15	5	6	16	7	29	0	18	0	46	0	22	19	3	115	1	1	0	41	423
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombi	15	33	5	31	7	12	8	21	8	23	0	17	0	41	0	10	15	3	112	4	0	0	54	419
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombicola	11	39	12	18	8	10	8	20	8	22	0	17	0	34	0	10	17	5	73	4	0	0	42	358
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas asaccharolytica	8	0	33	5	2	26	15	17	125	76	0	0	0	7	0	0	0	2	5	26	0	0	6	353
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helsingborgensis	10	11	0	35	0	3	0	16	2	11	0	35	0	34	0	37	18	0	60	0	0	1	11	284
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus huangpiensis	4	6	1	20	1	5	0	7	2	0	0	7	0	24	0	11	8	2	63	0	0	0	12	173
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella intestini	3	7	3	9	1	6	0	11	6	11	0	3	0	13	0	6	4	2	45	1	0	0	19	150
