tax	Garnets_Hilo1	Kaites__North_shoreissac	Kaites__North_shorestacys	Kaneohe_Schoolswarm	Kim2	Kim3	KualoaCow-P	KualoaP15	KualoaP2	Pat_Univ1	Pat_Univ2	Pat_Univ3	UH_apiaryW1	UH_apiaryW15	UH_apiaryW30	VHS1	VHS2	VHS3	VHS5	Waikele38	WainnaeJon-2	WainnaeJon-3	Waminalo1	Waminalo2	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	45452	27323	30914	38188	22722	21856	835	40698	39612	48817	32507	41945	33890	35617	22968	28264	31720	4989	36286	31726	35849	16284	24330	20124	712916
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera	22355	17275	12440	19377	23218	22887	186	15508	28362	17800	15043	20185	20046	19663	12079	16624	15367	350	15743	11080	32805	12113	15709	14532	400747
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus aladeformis	628	0	1594	7089	50	869	1	562	695	10792	1	3518	3325	11869	1949	0	115	1	1	499	665	534	422	89	45268
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Muvirus;Muvirus mu	31	5	6	3	6481	7495	0	0	0	0	0	3	6	0	95	2	87	0	6	3	10577	4513	0	3	29316
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Muvirus;Muvirus SfMu	22	1	3	0	6444	7473	0	1	0	0	1	2	10	1	85	1	102	0	5	3	10585	4502	0	0	29241
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Varroa destructor virus 1	224	0	628	4336	35	540	0	312	285	5673	0	1255	2039	4693	1171	12	90	0	1	180	150	51	241	18	21934
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola	108	986	358	269	175	893	0	545	540	341	112	254	277	650	440	127	334	0	114	117	900	360	226	392	8518
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Melissococcus;Melissococcus plutonius	24	615	821	55	129	764	0	373	359	222	34	106	85	294	459	30	392	0	35	116	458	91	349	283	6094
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella perrara	23	397	182	26	55	314	0	558	223	29	16	14	75	90	189	52	148	0	32	133	412	71	129	287	3455
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellis	3	217	469	16	48	323	0	230	147	81	18	32	17	51	174	9	124	0	13	34	109	186	126	70	2497
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella alvi	44	338	134	75	42	166	0	157	82	43	54	42	91	157	117	56	174	0	35	24	170	42	51	144	2238
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Apis mellifera filamentous virus	457	0	2	0	0	0	0	39	3	1	0	2	1	1	2	18	1485	0	1	70	0	2	7	0	2091
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus apis	5	309	202	2	23	242	0	93	102	64	22	5	55	109	110	3	49	0	5	24	126	55	87	91	1783
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus melliventris	5	73	130	8	20	103	0	62	52	43	3	23	10	123	94	5	68	0	2	11	104	9	24	22	994
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus larvae	9	141	102	3	23	112	0	41	53	37	9	12	18	62	60	8	49	0	8	14	95	17	39	63	975
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Dicistroviridae;Aparavirus;Aparavirus apisacutum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	899	0	0	0	0	902
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter mensalis	23	49	40	9	49	79	0	57	89	19	17	14	1	6	35	17	12	0	10	1	0	6	24	7	564
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella mensalis	0	53	27	18	13	68	0	30	26	23	5	14	20	58	28	9	23	0	6	10	61	19	16	25	552
Viruses;Orthornavirae;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Kinglevirus;Kinglevirus lutadaptatum	8	49	51	2	8	31	0	61	46	4	3	5	1	17	20	1	27	0	5	1	72	2	26	95	535
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus sacbroodi	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	304	0	2	0	0	0	0	0	505
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombi	5	66	24	12	8	53	0	30	31	25	4	10	29	47	28	4	20	0	1	5	47	25	12	18	504
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombicola	2	61	20	9	8	54	0	14	24	17	5	17	15	24	23	4	17	0	2	8	31	22	5	19	401
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helsingborgensis	3	25	59	1	6	30	0	39	19	9	1	6	4	21	31	0	39	0	2	9	37	4	19	30	394
Eukaryota;Metazoa;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor	10	10	8	9	26	14	0	2	13	39	52	41	5	11	8	8	50	0	4	18	3	2	0	2	335
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Dicistroviridae;Triatovirus;Triatovirus nigereginacellulae	38	0	1	4	0	0	0	0	0	56	20	26	0	0	0	0	118	0	6	36	0	0	0	0	305
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kimbladii	1	28	23	2	4	21	0	11	9	6	3	5	4	25	17	0	8	0	4	2	39	3	6	5	226
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus huangpiensis	1	30	24	1	0	22	0	29	13	5	4	1	3	6	10	0	9	0	0	4	16	2	7	5	192
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai Virus SA2	0	0	0	1	43	9	0	0	24	25	1	4	0	1	0	0	0	0	0	0	0	0	74	0	182
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella intestini	0	29	9	1	3	15	0	17	13	4	0	5	6	10	14	2	5	0	3	2	15	9	4	10	176
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kullabergensis	0	19	17	3	1	22	0	16	15	5	1	8	0	12	11	1	9	0	1	4	11	1	4	6	167
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Commensalibacter;Commensalibacter intestini	17	0	1	4	17	8	0	2	14	1	1	3	1	8	7	29	13	0	8	0	1	0	7	8	150
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellifer	2	13	20	0	1	21	0	26	19	2	2	0	0	1	1	1	11	0	0	0	2	8	4	9	143
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella gandavensis	1	16	11	3	3	11	0	12	7	1	3	5	9	15	4	3	19	0	0	0	7	2	4	4	140
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella communis	1	18	10	5	0	7	0	15	12	1	7	2	3	11	9	5	13	0	2	0	3	1	1	1	127
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium polysaccharolyticum	0	17	19	0	2	12	0	6	8	4	0	0	1	9	11	1	7	0	0	0	20	0	5	2	124
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella apis	5	11	4	1	4	4	0	2	14	6	4	1	7	2	1	4	4	0	1	0	2	1	5	33	116
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus laiwuensis	0	11	12	3	1	7	0	21	7	6	0	1	1	6	4	1	5	0	0	1	8	0	4	1	100
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella japonica	0	15	4	0	4	6	0	13	9	2	0	2	2	1	6	2	2	0	2	4	11	4	3	2	94
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas asaccharolytica	0	20	4	0	11	3	0	0	6	2	11	1	0	3	5	2	0	0	3	1	0	0	9	1	82
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus panisapium	0	8	12	0	2	12	0	1	5	3	2	0	0	8	5	0	10	0	0	2	4	0	3	4	81
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Halotthiaceae;Brunneoclavispora;Brunneoclavispora bambusae	3	1	1	4	5	10	0	4	10	5	1	3	2	3	1	0	2	0	0	1	12	3	6	4	81
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter adventoris	1	1	3	4	13	9	0	1	19	2	1	0	2	1	2	1	0	0	0	0	0	0	4	0	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas capnocytophagoides	0	4	3	2	6	8	0	0	12	0	2	0	0	0	0	1	0	0	3	0	0	0	12	3	56
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium mizhiense	1	6	9	0	1	6	0	6	6	1	0	0	0	2	8	1	0	0	1	0	4	0	2	1	55
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Arsenophonus;Arsenophonus nasoniae	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium choladohabitans	1	6	9	0	4	7	0	3	7	2	1	0	0	4	1	0	2	0	0	0	2	2	0	0	51
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium asteroides	0	10	7	0	0	5	0	3	3	1	0	0	2	3	6	0	2	0	0	0	4	0	2	1	49
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Polydnaviriformidae;Ichnoviriform;Ichnoviriform fumiferanae	1	1	1	2	0	1	0	0	1	2	9	3	0	4	2	3	11	0	2	4	0	0	0	1	48
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium apousia	0	6	9	0	0	6	0	1	5	2	0	0	0	2	1	0	2	0	0	0	5	0	6	1	46
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Apilactobacillus;Apilactobacillus kunkeei	1	1	0	0	1	0	0	26	3	4	0	0	1	0	0	0	0	0	0	0	0	0	7	2	46
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Peduoviridae;Wadgaonvirus;Wadgaonvirus wv5004651	0	1	0	0	2	5	0	3	0	0	1	1	2	2	3	0	3	0	1	2	3	7	2	0	38
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium coryneforme	0	2	3	0	0	3	0	3	5	1	0	0	0	0	3	1	1	0	0	0	6	1	3	5	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas hofstadii	0	4	0	0	8	3	0	0	7	0	1	0	0	0	0	0	1	0	1	0	0	0	9	1	35
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus thymidiniphilus	0	0	6	0	1	3	0	6	3	2	0	0	0	0	3	0	1	0	0	0	2	0	5	0	32
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter;Pluralibacter gergoviae	0	0	0	0	0	1	0	12	14	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	30
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	0	2	9	0	1	2	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	24
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Orbus;Orbus sasakiae	0	4	0	1	1	1	0	2	4	0	1	2	3	0	1	0	0	0	0	0	1	0	2	1	24
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas moraniae	0	6	0	0	1	1	0	0	0	1	4	0	1	0	0	0	0	0	5	0	0	0	1	3	23
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Orbus;Orbus hercynius	0	2	2	0	0	5	0	0	1	0	1	1	0	0	4	2	0	0	1	0	0	0	2	1	22
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium indicum	0	3	5	0	0	2	0	0	1	1	0	0	1	2	0	1	0	0	0	0	1	1	2	1	21
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus bombicola	0	6	2	0	1	0	0	2	1	0	0	0	1	3	2	1	0	0	0	0	1	0	0	1	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas massiliensis	0	1	0	0	3	3	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	21
Eukaryota;Metazoa;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	1	0	0	3	0	1	0	2	0	0	1	2	2	2	0	2	0	0	1	2	0	1	1	0	21
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus bombi	0	2	2	0	0	4	0	2	3	0	0	0	0	1	2	0	0	0	0	0	2	0	1	1	20
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai virus 1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	17
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Apilactobacillus;Apilactobacillus zhangqiuensis	1	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	14
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella vinsonii	0	3	1	0	1	1	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	1	1	14
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera sichuanensis	0	0	2	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	14
