tax	AHB22	AHB32	AHB40	AHB42	EHB17	EHB2	EHB24	EHB44	Garnets_Hilo2	Garnets_Hilo3	Garnets_Hilo5	Pahala1	Pahala2	Pahala3	Pahala5	Panaewa2	Panaewa3	Volcano1	Volcano2	Volcano3	Volcano4	Volcano5	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	27147	40656	30065	27943	82902	56177	27841	1389	57170	50347	51985	36428	32185	26901	45328	20639	19374	36933	29318	229	55270	12219	768446
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera	25692	18872	10634	16234	24686	20924	14089	371	27817	38225	31980	22266	17194	20301	37349	17425	21416	23970	15030	358	25928	14667	445428
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Muvirus;Muvirus SfMu	13	1	0	0	3	226	5	1	1	0	9	156	0	3	1	7707	8657	1	1	0	22404	4362	43551
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Muvirus;Muvirus mu	11	2	2	1	3	209	2	1	1	1	5	175	0	3	1	7483	8845	1	0	0	22301	4380	43427
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Melissococcus;Melissococcus plutonius	2643	705	1038	778	1967	484	855	0	59	2040	902	553	1352	696	851	808	352	144	23	0	1	61	16312
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus aladeformis	2699	1	3	97	0	27	0	0	813	0	0	0	3	0	1	0	0	595	4072	1	0	7523	15835
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola	422	750	684	828	1402	686	699	0	300	2638	897	750	875	759	858	619	307	449	90	0	1	197	14211
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Varroa destructor virus 1	4	0	0	0	1	0	0	0	389	0	0	1	0	1	0	0	0	503	5152	0	2	5023	11076
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellis	2017	773	677	999	784	253	886	1	9	954	374	148	463	202	259	260	58	24	0	0	0	18	9159
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella alvi	285	334	406	818	956	696	353	0	92	804	199	212	219	255	147	202	364	142	19	0	0	29	6532
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella perrara	148	428	194	422	675	268	372	0	49	922	270	167	199	545	222	336	165	146	27	0	0	56	5611
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus apis	452	412	345	594	712	284	523	0	7	207	52	84	268	109	194	101	33	23	11	0	0	15	4426
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus melliventris	494	189	335	407	517	106	390	0	1	282	91	98	120	120	182	87	34	32	3	0	0	7	3495
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helsingborgensis	559	227	315	479	286	82	334	0	1	89	24	45	112	25	76	23	27	12	1	0	0	7	2724
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus larvae	396	92	140	116	262	59	142	0	11	231	65	58	134	95	128	105	40	43	7	0	2	15	2141
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella apis	594	59	76	20	176	100	232	0	5	2	1	0	0	0	0	20	9	4	2	0	0	1	1301
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus huangpiensis	175	117	153	179	137	63	156	0	0	45	14	10	30	11	27	9	6	4	1	0	0	2	1139
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus sacbroodi	1	0	0	0	894	0	0	0	0	0	0	0	0	0	3	38	0	15	2	0	0	68	1021
Viruses;Orthornavirae;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Kinglevirus;Kinglevirus lutadaptatum	115	50	27	115	268	15	158	0	4	64	19	27	24	47	20	20	4	3	1	0	1	2	984
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kimbladii	121	81	91	142	111	41	107	0	2	69	16	13	40	12	30	4	4	5	0	0	0	3	892
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kullabergensis	138	82	137	99	121	54	66	0	2	31	16	11	20	18	12	15	3	2	1	0	0	2	830
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella mensalis	28	42	42	50	63	33	32	0	4	148	38	40	76	50	62	36	14	16	1	0	0	6	781
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombicola	36	27	34	41	69	31	34	0	2	112	35	42	60	42	46	29	13	17	3	0	0	6	679
Eukaryota;Metazoa;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor	3	73	41	8	35	10	11	0	12	20	101	25	34	38	11	57	114	8	16	0	19	0	636
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombi	14	29	31	32	49	19	34	0	5	112	48	39	52	36	49	22	16	17	1	0	0	11	616
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter mensalis	3	8	13	1	8	7	9	0	25	125	21	71	45	48	54	49	13	5	2	0	0	10	517
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus laiwuensis	52	65	72	65	74	18	83	0	0	16	4	9	12	5	25	6	4	2	0	0	0	0	512
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellifer	71	25	42	73	117	27	35	0	1	25	8	7	44	5	17	7	2	2	1	0	0	2	511
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Commensalibacter;Commensalibacter intestini	5	9	7	5	71	6	5	0	30	56	52	18	14	16	11	58	44	11	12	0	0	16	446
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Dicistroviridae;Triatovirus;Triatovirus nigereginacellulae	53	1	0	0	0	9	27	0	0	0	0	0	0	0	0	0	1	313	6	0	0	0	410
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella gandavensis	16	12	21	58	46	26	13	0	2	65	19	14	9	12	10	16	14	8	1	0	0	6	368
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella communis	12	19	23	51	43	29	11	0	1	45	8	9	4	13	3	9	6	12	0	0	0	2	300
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus panisapium	26	75	23	28	32	12	45	0	0	18	6	2	6	5	9	2	1	3	0	0	0	3	296
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium polysaccharolyticum	26	18	23	26	31	8	35	0	1	8	1	7	13	3	13	10	2	3	0	0	0	3	231
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Dicistroviridae;Aparavirus;Aparavirus israelense	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	228
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai virus 2	0	0	0	0	181	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella intestini	5	8	13	9	14	7	8	0	6	34	17	12	16	13	10	10	4	6	1	0	0	1	194
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium mizhiense	31	14	16	18	25	9	25	0	0	4	1	1	5	4	3	4	1	0	0	0	0	0	161
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella japonica	4	5	2	5	12	1	1	0	5	29	7	14	10	13	10	14	5	3	0	0	0	3	143
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas asaccharolytica	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	115	5	3	2	0	0	0	134
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium apousia	24	6	10	29	17	2	21	0	0	3	2	1	4	1	5	1	2	1	0	0	0	1	130
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium choladohabitans	19	11	14	13	20	2	25	0	0	2	1	2	5	0	3	1	1	1	0	0	0	0	120
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Apis mellifera filamentous virus	0	1	1	0	32	6	2	0	1	3	12	0	6	1	2	8	2	19	2	0	19	0	117
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella vinsonii	17	8	20	6	16	4	36	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	110
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus bombi	27	4	6	21	7	4	13	0	0	9	4	2	1	3	1	2	0	0	0	0	0	0	104
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia stuartii	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	35	7	12	14	2	0	22	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0	101
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Orbus;Orbus sasakiae	5	10	5	5	6	2	15	0	1	21	5	5	3	0	5	1	2	1	1	0	0	3	96
Eukaryota;Metazoa;Chordata;Mammalia;Primates;Cercopithecidae;Chlorocebus;Chlorocebus sabaeus	1	0	0	0	0	0	0	3	1	1	0	1	0	0	0	1	1	2	0	0	81	0	92
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus bombicola	8	4	8	5	12	3	13	0	0	4	2	2	9	1	6	6	0	3	0	0	0	0	86
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium asteroides	14	7	10	6	10	2	11	0	0	0	0	2	9	0	4	7	1	1	0	0	0	0	84
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter adventoris	0	0	3	1	1	0	0	0	3	13	2	27	4	5	11	6	2	1	0	0	0	1	80
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Halotthiaceae;Brunneoclavispora;Brunneoclavispora bambusae	2	1	0	0	3	4	2	0	4	0	10	2	1	2	31	4	7	6	0	0	0	0	79
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Polydnaviriformidae;Ichnoviriform;Ichnoviriform fumiferanae	0	3	0	0	2	0	3	0	2	0	18	11	5	2	3	4	11	2	3	0	0	1	70
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	0	5	1	22	3	0	15	0	0	1	0	0	0	4	0	6	0	1	0	0	0	0	58
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Peduoviridae;Wadgaonvirus;Wadgaonvirus wv5004651	0	0	1	0	1	0	0	0	0	28	2	7	1	0	2	2	0	3	0	0	0	1	48
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus thymidiniphilus	5	4	3	0	1	1	2	0	0	9	2	4	7	0	4	4	0	0	0	0	0	0	46
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas moraniae	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	33	3	0	0	0	0	0	42
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai virus 1	2	0	0	0	1	0	2	0	1	0	0	0	0	2	31	0	0	0	0	0	0	0	39
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella variicola	11	1	0	14	5	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	39
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Endobacter;Endobacter medicaginis	2	1	2	2	6	0	1	0	0	8	2	1	2	2	0	3	2	0	1	0	0	1	36
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium coryneforme	9	4	1	2	3	3	2	0	0	4	0	0	1	1	1	1	0	1	1	0	0	0	34
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae	6	1	1	7	5	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	32
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai Virus TO	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Apilactobacillus;Apilactobacillus kunkeei	0	2	3	6	8	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	27
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia sneebia	0	3	7	2	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium indicum	4	2	1	1	3	0	5	0	0	2	1	0	1	0	2	0	0	1	0	0	0	0	23
Eukaryota;Metazoa;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	1	0	1	0	2	1	0	1	5	0	1	1	1	1	2	1	1	0	0	1	1	2	23
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Orbus;Orbus hercynius	0	1	2	2	0	1	1	0	3	2	3	2	1	2	1	0	0	1	1	0	0	0	23
Viruses;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae;Suturavirus;Suturavirus SVTS2	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Viruses;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Theiavirus;Theiavirus salishense	0	0	0	0	1	3	0	0	3	2	0	3	1	0	2	1	0	2	2	0	0	1	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas capnocytophagoides	0	0	0	1	0	0	0	0	1	0	0	12	0	0	0	5	0	1	0	0	0	0	20
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter hormaechei	6	0	0	2	3	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas hofstadii	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	8	0	1	0	0	0	0	19
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella quasipneumoniae	5	2	1	5	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas massiliensis	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	18
