accession,virus,HB_S13,HB_S16,HB_S17,HB_S1,HB_S21,HB_S22,HB_S5,HB_S6,HB_S67,HB_S69,HB_S70,HB_S71,N_A_h1,N_A_h2,N_A_h3,N_A_h4,N_A_h5,N_A_h6,N_W_h1,N_W_h2,V_A_h1,V_A_h2,V_A_h3,V_A_h4,V_W_h1,V_W_h2,V_W_h3,V_W_h4
MT504363.1,DWV_D,28,2,108,0,30,22,256,330,256,116,84,160,0,0,0,0,0,0,0,0,72,0,0,0,0,92,24,80
CEND01000001.1,DWV_C,0,0,0,0,0,0,0,0,3424,4740,3284,6074,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0
NC_004830.2,DWV_A,3253708,7726,11498372,0,917164,3549510,9748630,3190610,4719898,4494046,1451798,5434932,1434,352,584,1426,6082,4320,1926,910,7183484,1152,1311350,4223300,2918,445536,3694864,5816220
NC_006494.1,DWV_B,6578,9702,12464,0,17347820,10192762,8380,5944,28,22,28,1110,274,2,10,12,2848,3660,366,12,47520,304,17056,39368,1217830,22,24492,277438
NC_074993.1,LSV_2Bruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_035467.1,LSV_2VN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_035113.1,LSV_NE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_035112.1,LSV_A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_032433.1,LSV_WHCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_027925.1,AMFV,8,3514,10,0,22,3368,0,54,0,4,0,0,8,10,8,14,12,10,16,20,32,8,20,2,4,10,22010,6
NC_002548.1,ABPV,0,0,874,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,10,0,4,0,0,8,0,2
NC_003784.1,BQCV,2014,71262,347360,336,190,498,560,35944,36182,340,118,14304,2,6,30,42,102,436,4,40,486,18,20,24,36,4908,886,80
NC_009025.1,IAPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1538,0,116,0,2,0,0,14
NC_004807.1,KBV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_002066.1,SBV,0,10,0,0,0,0,14,0,192,2,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
NC_014137.1,SBPV,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,0,4,0,0,0,2,0
total_virus,total_virus,3262336,92216,11859188,336,18265226,13746160,9757840,3232882,4759986,4499270,1455314,5456580,1718,372,634,1518,9046,8426,2314,986,7233150,1482,1328570,4262694,1220790,450576,3742286,6093840
total_trim_reads,total_trim_reads,33484418,23049132,44502316,172185742,46768724,43122004,43610930,44434458,26274142,25413856,25413856,29105656,6672572,25757682,18271128,23285170,16743878,28313490,21982058,25510126,47391166,26292274,29239718,31382178,10106424,40719750,35101032,37664338
total_pair,total_pair,16742209,11524566,22251158,86092871,23384362,21561002,21805465,22217229,13137071,12706928,12706928,14552828,3336286,12878841,9135564,11642585,8371939,14156745,10991029,12755063,23695583,13146137,14619859,15691089,5053212,20359875,17550516,18832169
